protocol,platform,platform_type,distance_km,noise_factor,run,transmission,effective_qubits,sifted_length,raw_key_rate,qber,secure_key_rate,single_qubit_fidelity,two_qubit_fidelity,T1,T2,num_bases_used,bell_parameter,entanglement_verified,decoy_qber,attack_detected
AB-QKD,ionq_aria,trapped_ion,15,1.5,0,0.5011872336272722,250,129,0.258,0.17240479433039385,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.5,1,0.5011872336272722,250,136,0.272,0.005738127663727195,0.24149589943427463,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.5,2,0.5011872336272722,250,97,0.194,0.2279603498859494,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.5,3,0.5011872336272722,250,115,0.23,0.0966472185728181,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.5,4,0.5011872336272722,250,114,0.228,0.0966472185728181,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.5,5,0.5011872336272722,250,131,0.262,0.08266120458680412,0.02481866816636576,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.5,6,0.5011872336272722,250,118,0.236,0.0966472185728181,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.5,7,0.5011872336272722,250,120,0.24,0.2557381276637272,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.5,8,0.5011872336272722,250,122,0.244,0.2557381276637272,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,1.5,9,0.5011872336272722,250,137,0.274,0.15958428150988105,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.0,0,0.5011872336272722,250,97,0.194,0.005988127663727167,0.17145320645477743,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.0,1,0.5011872336272722,250,67,0.134,0.3393214609970605,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.0,2,0.5011872336272722,250,85,0.17,0.2559881276637272,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.0,3,0.5011872336272722,250,98,0.196,0.005988127663727167,0.17322076528420813,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.0,4,0.5011872336272722,250,87,0.174,0.3809881276637272,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.0,5,0.5011872336272722,250,93,0.186,0.22821034988594938,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.0,6,0.5011872336272722,250,80,0.16,0.2559881276637272,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.0,7,0.5011872336272722,250,86,0.172,0.3809881276637272,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.0,8,0.5011872336272722,250,86,0.172,0.13098812766372717,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.0,9,0.5011872336272722,250,74,0.148,0.14884527052087002,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.5,0,0.5011872336272722,250,176,0.352,0.24153224531078596,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.5,1,0.5011872336272722,250,190,0.38,0.11150128555846398,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.5,2,0.5011872336272722,250,147,0.294,0.29195241337801286,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.5,3,0.5011872336272722,250,170,0.34,0.12388518648725655,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.5,4,0.5011872336272722,250,166,0.332,0.19373812766372714,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.5,5,0.5011872336272722,250,168,0.336,0.00623812766372714,0.29559250374799445,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.5,6,0.5011872336272722,250,192,0.384,0.26939602240056926,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.5,7,0.5011872336272722,250,176,0.352,0.00623812766372714,0.30966833725980364,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.5,8,0.5011872336272722,250,186,0.372,0.22846034988594935,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,15,2.5,9,0.5011872336272722,250,161,0.322,0.13123812766372714,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,20,1.0,0,0.3981071705534972,199,121,0.242,0.0898522616277983,0.00988611496674175,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,20,1.0,1,0.3981071705534972,199,118,0.236,0.2792462010217377,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,20,1.0,2,0.3981071705534972,199,123,0.246,0.17318559496113162,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,20,1.0,3,0.3981071705534972,199,116,0.232,0.2792462010217377,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,20,1.0,4,0.3981071705534972,199,127,0.254,0.256518928294465,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,20,1.0,5,0.3981071705534972,199,122,0.244,0.256518928294465,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,20,1.0,6,0.3981071705534972,199,126,0.252,0.17318559496113162,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,20,1.0,7,0.3981071705534972,199,126,0.252,0.4231855949611317,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,20,1.0,8,0.3981071705534972,199,133,0.266,0.0065189282944649735,0.23281388337692005,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,20,1.0,9,0.3981071705534972,199,126,0.252,0.256518928294465,0.0,0.9995,0.987,10000,1000,4.0,,,,
